Date,Price,Open,High,Low,Vol.,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2020-12-18,0.15425224030952317,0.14567565493023613,0.16414158396972284,0.14322281269800607,1.327356450110392,0.97,-0.1468544037779702,-0.09108646763688831,75.06168814500909,1.182881941526802,0.5021509951794357,2.3129089557609843
2020-12-17,0.14426564006402934,0.13317083285095746,0.2431427968307671,0.12636150738665808,2.9178347695747875,1.17,-0.09435229442607845,-0.048985787224850516,74.11840286615995,1.3087532970808893,0.6804288972028055,2.1778470766913114
2020-12-16,0.13231738619888514,-0.05100733234527523,0.09745224843767232,-0.06604472099950158,1.9037714115270186,22.1,-0.04495745277052346,-0.016723102493908903,72.93741200276065,1.3838275374653823,0.8390422075108503,1.9376181958197718
2020-12-15,-0.052078054048267604,0.0018702010185316792,-0.015919621966813513,-0.019207761801312805,0.5801518704962467,-5.96,-0.018242093726159526,-0.0240212800949089,57.666235241184495,1.283165687901744,0.9444916465012604,1.2881515049104943
2020-12-14,0.0008865936822975274,0.03134585306254568,0.002890190619149455,0.027629197396876075,0.16352127125453658,-3.25,0.010276909210905369,-0.02031418832830368,60.241226322144286,1.2318961587491508,1.017930668140595,0.8971021077095869
2020-12-13,0.030668062271537837,0.017054627829084346,0.019135028761571925,0.021259370945922364,0.6015005727709366,1.63,0.05560015871264028,-0.011839090439815016,61.65362674028686,1.2017486153310628,1.070260388233559,0.6392241939508907
2020-12-12,0.015866494050538204,0.08993987651973698,0.052992691416305304,0.019947936088373117,1.530169121719946,-7.66,0.0660648648623712,-0.007609637362045486,60.503224594590726,1.1535701800299387,1.10186204497079,0.38600360668074885
2020-12-11,0.09076599589174147,0.13495723600514012,0.11763004739352355,0.09844667970453749,1.039148969402079,-4.11,0.07202939021051129,0.009537348671126954,64.1486822568859,1.1620791317037544,1.1289557969569326,0.3309336144273349
2020-12-10,0.13267405049336703,0.15460767070114947,0.12224700139189613,0.14771916078103234,0.46273400798545244,-1.97,0.07472592711940099,0.03122463716499258,66.03751347783304,1.1890612769052729,1.156378058545043,0.3349467917756767
2020-12-09,0.15318224742607733,0.1122699159470204,0.14926473219718844,0.054232590221447316,1.1779155341875631,4.27,0.07585097231979869,0.052716283031504024,66.95501799421831,1.2134461844274187,1.1835099101179292,0.33139905104649703
2020-12-08,0.11056086423548804,0.19962503018655262,0.1603796214525301,0.14378485620838427,0.49475706139748726,-8.08,0.07147579654047428,0.0625120727857218,63.1375019535674,1.1860673350179625,1.1993836324534477,0.19386617843198733
2020-12-07,0.19812194853079926,0.2237414727680187,0.1826093999632136,0.2177872517415228,0.1947650970335452,-2.13,0.07686887035825367,0.08652700864837178,67.2666163464466,1.220420057694378,1.2193998205520757,0.24447185226069912
2020-12-06,0.22166179196660596,0.1592523189020245,0.1894493318126547,0.19699164185752696,0.6121749239082815,6.16,0.08581565838046369,0.11047707164070794,68.29482081420767,1.2525970343759256,1.2422665422784376,0.27929487392269864
2020-12-05,0.1574622189598605,0.10226605828359739,0.13558486849830628,0.13835176894139456,0.2887634331490047,5.75,0.10679864426089662,0.11834127107612831,62.52629872455185,1.2139741782344577,1.2523331610197401,0.12292476160834381
2020-12-04,0.10075259613723513,0.23928318020940778,0.20090621766046857,0.12898437710175678,0.6441979773203164,-12.19,0.11679904604220939,0.1144129618619352,57.87596284406067,1.1261885811269106,1.2416879186283862,-0.13009789417286952
2020-12-03,0.2377116852182924,0.23964046084024426,0.2137310898781705,0.26218868906140574,0.19323866482090488,-0.05,0.13753202187810945,0.136225678205019,64.70360478769575,1.1525911626773162,1.238795536302072,-0.03538650001122014
